movie	42	2013
actress	Degrass, Emily	A Bronx Tale	1993	Chez Bippy Customer
actor	Laham, Joe	A Bronx Tale	1993	Doo Wop Group (Street)
actor	Lange, Alan	A Bronx Tale	1993	Doo Wop Group (Street)
actor	Lederman, Larry	A Bronx Tale	1993	Racetrack Announcer
actor	Lombardozzi, Domenick	A Bronx Tale	1993	Nicky Zero
actor	Matra, Rocco 'Girffe'	A Bronx Tale	1993	Soldier
actor	Meighan, Jason	A Bronx Tale	1993	Doo Wop Group (School)
actor	Migliore, Richard	A Bronx Tale	1993	Jockey
actor	Montanaro, Eddie	A Bronx Tale	1993	Eddie Mush
actor	Morigi, Mike	A Bronx Tale	1993	Chez Bippy Customer
actor	Motts, Johnny	A Bronx Tale	1993	Chez Bippy Customer
actor	Napolitano, Ralph	A Bronx Tale	1993	Gino
actor	Palminteri, Chazz	A Bronx Tale	1993	Sonny
actor	Parente, Rocco	A Bronx Tale	1993	Driver (Hey Marie!)
actor	Pastore, Garry	A Bronx Tale	1993	Chez Bippy Customer
actor	Pendleton, Steve	A Bronx Tale	1993	Satan's Messengers
actor	Perri, Paul	A Bronx Tale	1993	Crazy Mario (Age 9)
actor	Pesci, Joe	A Bronx Tale	1993	Carmine
actor	Pietrangolare, Frank	A Bronx Tale	1993	Danny K.O.
actor	Ranieri, Richie	A Bronx Tale	1993	Bodyguard
actor	Tanuzzo Jr., John	A Bronx Tale	1993	Satan's Messengers
actor	Thomas, Rhaman	A Bronx Tale	1993	Doo Wop Group (School)
actor	Vacaro, Pat	A Bronx Tale	1993	Capo
actor	Vanaria, Louis	A Bronx Tale	1993	Crazy Mario (Age 17)
actor	Velazquez, Johnny	A Bronx Tale	1993	Jockey
actor	Wahhab, Ali A.	A Bronx Tale	1993	Angry Neighbor
actor	Webber, Demond	A Bronx Tale	1993	Doo Wop Group (School)
actor	Rocchio, Dominick	A Bronx Tale	1993	Ralphie (Age 17)
actor	Salerno, Dave	A Bronx Tale	1993	Frankie Coffeecake
actor	Sauchelli Jr., Alfred	A Bronx Tale	1993	Bobby Bars
actor	Simmons, Derrick	A Bronx Tale	1993	Angry Neighbor
actor	Ekoku, A.J.	A Bronx Tale	1993	A. J.
actor	Etergineoso, Anthony	A Bronx Tale	1993	Doo Wop Group (Street)
actor	Etergineoso, Louis	A Bronx Tale	1993	Doo Wop Group (Street)
actor	Anannlin, Macky	A Bronx Tale	1993	Chez Bippy Customer
actor	Antley, Chris	A Bronx Tale	1993	Jockey
actor	Attanasio, Albert	A Bronx Tale	1993	Capo
actor	Bailey, Sobe	A Bronx Tale	1993	Willy
actor	Batiste, David	A Bronx Tale	1993	Angry Neighbor
actor	Beansie	A Bronx Tale	1993	Chez Bippy Customer
actor	Black, Joe	A Bronx Tale	1993	Murdered Man
actor	Blair, Nicky	A Bronx Tale	1993	Jerry
actor	Bonge, Steve	A Bronx Tale	1993	Satan's Messengers
actor	Borriello, Patrick	A Bronx Tale	1993	Slick (Age 9)
actor	Brancato, Lillo	A Bronx Tale	1993	Calogero (Age 17)
actor	Cafariella, Mark	A Bronx Tale	1993	Satan's Messengers
actor	Calvacca Jr., Joe	A Bronx Tale	1993	Doo Wop Group (Street)
actor	Capra, Francis	A Bronx Tale	1993	Calogero (Age 9)
actor	Caserta Jr., Clem	A Bronx Tale	1993	Pizza Man
actor	Caserta Jr., Frank	A Bronx Tale	1993	Soldier
actor	Caserta Sr., Frank	A Bronx Tale	1993	Old Gee
actor	Caserta, Clem	A Bronx Tale	1993	Jimmy Whispers
actor	Cestaro, Sal	A Bronx Tale	1993	Coffeemaker
actor	Conti, Frank	A Bronx Tale	1993	Fish Store Owner
actor	Cordeiro, Tony	A Bronx Tale	1993	Jockey
actor	Corozzo, Anthony	A Bronx Tale	1993	Chez Bippy Customer
actor	Cruguet, Jean	A Bronx Tale	1993	Jockey
actor	D'Andrea, Robert	A Bronx Tale	1993	Tony Toupee
actor	D'Angelo, Luigi	A Bronx Tale	1993	Aldo (Age 17)
actor	D'Onofrio, Joseph	A Bronx Tale	1993	Slick (Age 17)
actor	De Niro, Robert	A Bronx Tale	1993	Lorenzo
actor	DeDomenico, Richard	A Bronx Tale	1993	Priest
