actor	Alfieri, Joseph	15 Minutes	2001	Reporter
actor	Andon, Kurt	15 Minutes	2001	Pizza Man
actor	Arnett, Peter	15 Minutes	2001	Himself
actor	Blueian, Barry	15 Minutes	2001	Immigration Supervisor
actor	Brooks, Avery	15 Minutes	2001	Detective Leon Jackson
actor	Brown, Lennox	15 Minutes	2001	Lookout Guy
actor	Burns, Edward	15 Minutes	2001	Fire Marshal Jordy Warsaw
actor	Bush, Brantley	15 Minutes	2001	Fireman
actor	Camello, Mike	15 Minutes	2001	Fireman Camello
actor	Casseus, Gabriel	15 Minutes	2001	Unique
actor	Cohen, Alan	15 Minutes	2001	Hawkins' Sound Man
actor	Coster, Ritchie	15 Minutes	2001	News Stand Vendor
actor	Cutler, Bruce	15 Minutes	2001	Himself
actor	Dane, Ashton	15 Minutes	2001	Talk Show Father
actor	Grier, David Alan	15 Minutes	2001	Mugger in Central Park
actor	Davis, Stephen	15 Minutes	2001	Murphy
actor	De Niro, Robert	15 Minutes	2001	Detective Eddie Flemming
actor	Guzman, Jorge H.	15 Minutes	2001	Bouncer at Planet Hollywood
actor	Dillin, Scott	15 Minutes	2001	Battery Park Policeman
actor	Handy, James	15 Minutes	2001	Deputy Chief Fire Marshal Declan Duffy
actor	DiResta, John	15 Minutes	2001	Bobby Korfin
actor	Herman, Paul	15 Minutes	2001	Detective Paulie
actor	Khan, Marco	15 Minutes	2001	Emigrant
movie	1941	1979
director	Spielberg, Steven	1941	1979
actress	Molinari, Antoinette	1941	1979	Mrs. Scioli
actress	Landers, Audrey	1941	1979	USO Girl
actress	LuPone, Patti	1941	1979	Lydia Hedberg
actress	Taggart, Rita	1941	1979	Reporter
actress	Teefy, Maureen	1941	1979	USO Girl
actress	Williams, Carol Ann	1941	1979	USO Girl
actress	Williams, Jenny	1941	1979	USO Girl
actress	Sherman, Kerry	1941	1979	USO Girl
actress	Sperber, Wendie Jo	1941	1979	Maxine Dexheimer
actress	Gaines, Marjorie	1941	1979	Anderson Sister
actress	Gallup, Denise	1941	1979	Twin
actress	Gallup, Dian	1941	1979	Twin
actress	Gannen, Barbara	1941	1979	Interceptor Assistant
actress	Garland, Trish	1941	1979	Anderson Sister
actress	Gary, Lorraine	1941	1979	Joan Douglas
actress	Hardin, Diane	1941	1979	Interceptor Assistant
actress	Kay, Dianne	1941	1979	Betty Douglas
actress	Allen, Nancy	1941	1979	Donna Stratton
actress	Backlinie, Susan	1941	1979	Polar Bear Woman
actress	Benson, Deborah	1941	1979	USO Girl
actress	Benson, Lucille	1941	1979	Gas Mama (Eloise)
actress	Culver, Carol	1941	1979	Anderson Sister
actress	Dooling, Lucinda	1941	1979	Lucinda
actor	Lander, David L.	1941	1979	Joe
actor	Landis, John	1941	1979	Mizerany
actor	Lang, Perry	1941	1979	Dennis DeSoto
actor	Lee, Christopher	1941	1979	Capt. Wolfgang von Kleinschmidt
actor	Marias, Mark	1941	1979	Dept. Store Kid
actor	Matheson, Tim	1941	1979	Capt. Loomis Birkhead
actor	McKean, Michael	1941	1979	Willy
actor	McKee, John	1941	1979	Reporter
actor	McMillan, Ronnie	1941	1979	Winowski
actor	McNally, Dan	1941	1979	Reporter
actor	McNamara, J. Patrick	1941	1979	Pvt. DuBois
actor	McRae, Frank	1941	1979	Pvt. Ogden Johnson Jones
actor	Mifune, Toshirô	1941	1979	Cmdr. Akiro Mitamura
actor	Miller, Dick	1941	1979	Officer Miller
actor	Mitamura, Akio	1941	1979	Ashimoto
actor	Mond, Steven	1941	1979	Gus Douglas
actor	Oates, Warren	1941	1979	Col. 'Madman' Maddox
actor	Olkewicz, Walter	1941	1979	Hinshaw
actor	Pickens, Slim	1941	1979	Hollis P. Wood
actor	Flaherty, Joe	1941	1979	Raoul Lipschitz
